5296
1 2 3
3 4 5
4 3 5
2 6 5
3 5 7
15 20 100
21 29 15
100 118 39
100 135 42
100 152 190
100 220 77
100 288 14
105 123 58
105 140 238
105 225 121
105 259 13
105 276 7
110 128 7
110 145 107
110 230 257
110 264 311
115 150 216
115 184 158
115 235 124
120 138 256
120 172 46
120 240 301
120 274 43
120 291 340
130 148 257
130 182 119
130 216 115
130 250 79
135 170 218
135 204 154
135 255 208
140 158 297
140 175 90
140 192 85
140 260 261
140 294 251
145 265 82
150 168 281
150 185 106
150 219 266
150 236 211
155 275 96
160 195 62
160 280 191
165 183 322
165 200 349
165 234 17
165 285 354
170 222 95
170 290 104
175 210 68
180 198 117
180 215 364
180 232 289
180 249 376
180 266 427
185 220 234
190 225 257
190 276 145
195 213 248
195 230 48
195 247 380
195 264 259
200 235 284
205 240 388
210 228 361
210 245 258
210 296 283
215 250 234
220 255 17
225 243 154
230 248 57
230 282 411
230 299 473
235 270 84
240 258 171
240 275 422
240 292 169
245 280 500
255 290 113
260 278 209
270 288 202
280 298 75
100 101 114
100 169 55
100 186 188
100 203 102
100 237 58
100 254 246
100 271 328
105 106 161
105 157 27
105 174 33
105 191 239
105 208 181
105 242 295
105 293 146
110 111 196
110 162 210
110 179 67
110 196 248
110 213 217
110 247 316
110 281 378
110 298 124
115 116 18
115 133 201
115 167 7
115 201 244
115 218 171
115 252 256
115 269 114
115 286 256
120 121 154
120 155 95
120 189 132
120 206 96
120 223 117
120 257 203
125 126 54
125 143 86
125 160 30
125 177 98
125 194 37
125 211 304
125 228 253
125 245 350
125 262 48
125 279 314
125 296 240
130 131 93
130 165 50
130 199 161
130 233 265
130 267 95
130 284 200
135 136 253
135 187 265
135 221 19
135 238 223
135 272 331
135 289 377
140 141 168
140 209 284
140 226 120
140 243 177
140 277 333
145 146 117
145 163 128
145 180 35
145 197 79
145 214 69
145 231 16
145 248 144
145 299 110
150 151 46
150 202 94
150 253 200
150 270 210
150 287 127
155 156 21
155 173 184
155 190 105
155 207 158
155 224 246
155 241 324
155 258 362
155 292 10
160 161 186
160 178 230
160 212 340
160 229 330
160 246 174
160 263 150
160 297 50
165 166 180
165 217 269
165 251 338
165 268 217
170 171 269
170 188 296
170 205 190
170 256 348
170 273 333
175 176 33
175 193 16
175 227 186
175 244 307
175 261 150
175 278 235
175 295 40
180 181 317
180 283 184
185 186 210
185 203 261
185 237 65
185 254 104
185 271 44
185 288 391
190 191 173
190 208 272
190 242 270
190 259 23
190 293 344
195 196 222
195 281 143
195 298 167
200 201 235
200 218 252
200 252 156
200 269 386
200 286 22
205 206 385
205 223 283
205 257 96
205 274 395
205 291 304
210 262 182
210 279 87
215 216 397
215 233 231
215 267 351
215 284 472
220 221 5
220 238 434
220 272 120
220 289 392
225 226 162
225 260 155
225 277 124
225 294 351
230 231 124
230 265 220
235 236 7
235 253 124
235 287 271
240 241 96
245 246 207
245 263 384
245 297 33
250 251 499
250 268 136
255 256 225
260 261 180
260 295 10
265 266 358
265 283 418
270 271 418
275 276 468
275 293 452
280 281 456
285 286 439
290 291 215
295 296 199
2049 7056 3392
2049 7057 7037
2049 7058 8368
2049 7059 9081
2049 7060 686
2049 7061 8034
2049 7062 2954
2049 7063 564
2049 7064 588
2049 7065 1647
2049 7066 4157
2049 7067 3542
2049 7068 2432
2049 7069 1111
2049 7070 1207
2049 7071 8236
2049 7072 3017
